State	Year	Miles (millions)	Fatalities
Alabama	2013	65046.48393	853
Alaska	2013	4848.454772	51
Arizona	2013	60586.17136	849
Arkansas	2013	33493.27431	498
California	2013	329534.133	3107
Colorado	2013	46968.08474	482
Connecticut	2013	30941.1856	286
Delaware	2013	9307.81002	99
District of Columbia	2013	3527.268919	20
Florida	2013	192701.8157	2403
Georgia	2013	109354.5119	1180
Hawaii	2013	10099.35059	102
Idaho	2013	15980.10637	214
Illinois	2013	105297.1041	991
Indiana	2013	78311.29441	784
Iowa	2013	31641.00166	317
Kansas	2013	30208.2842	350
Kentucky	2013	46995.99686	638
Louisiana	2013	47757.96708	703
Maine	2013	14129.25004	144
Maryland	2013	56687.63974	465
Massachusetts	2013	56311.17282	351
Michigan	2013	95131.56498	947
Minnesota	2013	56974.04513	387
Mississippi	2013	38757.69339	613
Missouri	2013	69458.42184	757
Montana	2013	12032.72721	229
Nebraska	2013	19321.5614	211
Nevada	2013	24649.41667	266
New Hampshire	2013	12902.81476	135
New Jersey	2013	74529.79194	542
New Mexico	2013	25086.11077	311
New York	2013	129736.7468	1202
North Carolina	2013	105212.5578	1290
North Dakota	2013	10099.64871	148
Ohio	2013	112766.7288	989
Oklahoma	2013	47998.60776	678
Oregon	2013	33705.84607	313
Pennsylvania	2013	98627.97611	1210
Rhode Island	2013	7775.124822	65
South Carolina	2013	48986.25958	767
South Dakota	2013	9121.797359	135
Tennessee	2013	71067.04361	995
Texas	2013	244524.8829	3389
Utah	2013	27005.47607	220
Vermont	2013	7115.877038	69
Virginia	2013	80767.0057	740
Washington	2013	57211.21142	436
West Virginia	2013	19232.34743	332
Wisconsin	2013	59486.15042	543
Wyoming	2013	9308.940396	87
