State	Year	Miles (millions)
Alabama	2018	71167.20675
Alaska	2018	5487.319994
Arizona	2018	66144.51121
Arkansas	2018	36675.30905
California	2018	348795.7135
Colorado	2018	53953.6075
Connecticut	2018	31595.70533
Delaware	2018	10179.38381
District of Columbia	2018	3690.677971
Florida	2018	221815.7407
Georgia	2018	131455.5328
Hawaii	2018	10886.76775
Idaho	2018	17709.14577
Illinois	2018	107954.2539
Indiana	2018	81528.8118
Iowa	2018	33282.40004
Kansas	2018	32190.41298
Kentucky	2018	49543.60624
Louisiana	2018	50045.42745
Maine	2018	14783.55489
Maryland	2018	59775.43547
Massachusetts	2018	66771.98073
Michigan	2018	102397.5575
Minnesota	2018	60438.31409
Mississippi	2018	40730.43949
Missouri	2018	76594.99928
Montana	2018	12699.63599
Nebraska	2018	20974.73509
Nevada	2018	28319.01217
New Hampshire	2018	13776.47306
New Jersey	2018	77538.91117
New Mexico	2018	27288.30697
New York	2018	123510.3986
North Carolina	2018	121127.2486
North Dakota	2018	9855.663669
Ohio	2018	114474.4406
Oklahoma	2018	45433.01282
Oregon	2018	36848.41693
Pennsylvania	2018	102109.4468
Rhode Island	2018	8008.582207
South Carolina	2018	56800.68275
South Dakota	2018	9719.406133
Tennessee	2018	81321.49097
Texas	2018	282037.2651
Utah	2018	32069.28791
Vermont	2018	7346.350178
Virginia	2018	85336.10206
Washington	2018	62366.65613
West Virginia	2018	19447.32321
Wisconsin	2018	65885.43495
Wyoming	2018	10438.44261
